time,IP,seqno,pkt,tx,MIsent,MIrecv,RSsent,RSRECV,hop_cnt,dis,dio,dao,rank
1462920606,2001:470:83ae:2:212:6d02::400f,1,0,0,0,0,0,0,1,0,0,0,0
1462920606,2001:470:83ae:2:212:6d02::400f,2,3,3,2,0,1,0,1,0,0,0,0
1462920606,2001:470:83ae:2:212:6d02::400f,3,3,3,0,0,2,0,1,0,0,0,0
1462920606,2001:470:83ae:2:212:6d02::400f,4,4,4,1,0,1,0,1,0,0,0,0
1462920606,2001:470:83ae:2:212:6d02::400f,5,2,2,0,0,1,0,1,0,0,0,0
1462920606,2001:470:83ae:2:212:6d02::400f,6,1,1,0,0,1,0,1,0,0,0,0
1462920607,2001:470:83ae:2:212:6d02::400f,7,2,2,1,0,0,0,1,0,0,0,0
1462920607,2001:470:83ae:2:212:6d02::400f,8,0,0,0,0,0,0,1,0,0,0,0
1462920607,2001:470:83ae:2:212:6d02::400f,9,1,1,0,0,0,0,1,0,0,0,0
1462920607,2001:470:83ae:2:212:6d02::400f,10,0,0,0,0,0,0,1,0,0,0,0
1462920607,2001:470:83ae:2:212:6d02::400f,11,2,2,1,0,0,0,1,0,0,0,0
1462920607,2001:470:83ae:2:212:6d02::400f,12,0,0,0,0,0,0,1,0,0,0,0
1462920608,2001:470:83ae:2:212:6d02::400f,13,1,1,0,0,0,0,1,0,0,0,0
