time,IP,seqno,pkt,tx,MIsent,MIrecv,RSsent,RSRECV,hop_cnt,dis,dio,dao,rank
1463033607,2001:470:83ae:2:212:6d02::4043,1,0,0,0,0,0,0,255,0,4,0,0
1463033607,2001:470:83ae:2:212:6d02::4043,2,11,11,0,0,0,0,255,0,4,0,0
1463033607,2001:470:83ae:2:212:6d02::4043,3,8,8,0,0,0,0,255,0,4,0,0
1463033607,2001:470:83ae:2:212:6d02::4043,4,8,8,0,0,0,0,255,0,4,0,0
1463033608,2001:470:83ae:2:212:6d02::4043,5,5,5,0,0,0,0,255,0,4,0,0
1463033608,2001:470:83ae:2:212:6d02::4043,6,5,5,0,0,0,0,255,0,4,0,0
1463033608,2001:470:83ae:2:212:6d02::4043,7,7,7,0,0,0,0,255,0,4,0,0
1463033608,2001:470:83ae:2:212:6d02::4043,8,4,4,0,0,0,0,255,0,3,0,0
1463033609,2001:470:83ae:2:212:6d02::4043,9,3,3,0,0,0,0,255,0,3,0,0
1463033609,2001:470:83ae:2:212:6d02::4043,10,4,4,0,0,0,0,255,0,3,0,0
1463033609,2001:470:83ae:2:212:6d02::4043,11,5,5,0,0,0,0,255,0,3,0,0
1463033609,2001:470:83ae:2:212:6d02::4043,12,4,4,0,0,0,0,255,0,3,0,0
1463033610,2001:470:83ae:2:212:6d02::4043,13,7,7,0,0,0,0,255,0,3,0,0
1463033610,2001:470:83ae:2:212:6d02::4043,14,4,4,0,0,0,0,255,0,3,0,0
1463033610,2001:470:83ae:2:212:6d02::4043,15,3,3,0,0,0,0,255,0,3,0,0
1463033622,2001:470:83ae:2:212:6d02::4043,16,6,6,0,0,0,0,255,0,3,0,0
1463033622,2001:470:83ae:2:212:6d02::4043,17,5,5,0,0,0,0,255,0,3,0,0
1463033623,2001:470:83ae:2:212:6d02::4043,18,4,4,0,0,0,0,255,0,3,0,0
1463033623,2001:470:83ae:2:212:6d02::4043,19,7,7,0,0,0,0,255,0,3,0,0
1463033623,2001:470:83ae:2:212:6d02::4043,20,5,5,0,0,0,0,255,0,3,0,0
1463033623,2001:470:83ae:2:212:6d02::4043,21,5,5,0,0,0,0,255,0,3,0,0
1463033624,2001:470:83ae:2:212:6d02::4043,22,3,3,0,0,0,0,255,0,3,0,0
1463033624,2001:470:83ae:2:212:6d02::4043,23,3,3,0,0,0,0,255,0,3,0,0
1463033624,2001:470:83ae:2:212:6d02::4043,24,5,5,0,0,0,0,255,0,3,0,0
1463033624,2001:470:83ae:2:212:6d02::4043,25,6,6,0,0,0,0,255,0,3,0,0
1463033624,2001:470:83ae:2:212:6d02::4043,26,5,5,0,0,0,0,255,0,3,0,0
1463033625,2001:470:83ae:2:212:6d02::4043,27,5,5,0,0,0,0,255,0,3,0,0
1463033625,2001:470:83ae:2:212:6d02::4043,28,5,5,0,0,0,0,255,0,3,0,0
1463033625,2001:470:83ae:2:212:6d02::4043,29,6,6,0,0,0,0,255,0,3,0,0
1463033625,2001:470:83ae:2:212:6d02::4043,30,2,2,0,0,0,0,255,0,3,0,0
1463033625,2001:470:83ae:2:212:6d02::4043,31,5,5,0,0,0,0,255,0,3,0,0
1463033626,2001:470:83ae:2:212:6d02::4043,32,4,4,0,0,0,0,255,0,3,0,0
1463033626,2001:470:83ae:2:212:6d02::4043,33,4,4,0,0,0,0,255,0,3,0,0
1463033626,2001:470:83ae:2:212:6d02::4043,34,3,3,0,0,0,0,255,0,3,0,0
1463033626,2001:470:83ae:2:212:6d02::4043,35,6,6,0,0,0,0,255,0,3,0,0
1463033627,2001:470:83ae:2:212:6d02::4043,36,3,3,0,0,0,0,255,0,3,0,0
1463033627,2001:470:83ae:2:212:6d02::4043,37,5,5,0,0,0,0,255,0,3,0,0
1463033627,2001:470:83ae:2:212:6d02::4043,38,4,4,0,0,0,0,255,0,3,0,0
