time,IP,seqno,pkt,tx,MIsent,MIrecv,RSsent,RSRECV,hop_cnt,dis,dio,dao,rank
1463048027,2001:470:83ae:2:212:6d02::4013,1,3,3,0,0,0,0,255,0,2,1,0
1463048028,2001:470:83ae:2:212:6d02::4013,2,5,5,0,0,0,0,255,0,2,1,0
1463048028,2001:470:83ae:2:212:6d02::4013,3,5,6,0,0,0,0,255,0,2,1,0
1463048028,2001:470:83ae:2:212:6d02::4013,4,2,2,0,0,0,0,255,0,2,1,0
1463048028,2001:470:83ae:2:212:6d02::4013,5,3,3,0,0,0,0,255,0,2,1,0
1463048028,2001:470:83ae:2:212:6d02::4013,6,2,2,0,0,0,0,255,0,2,1,0
1463048029,2001:470:83ae:2:212:6d02::4013,7,2,2,0,0,0,0,255,0,2,1,0
1463048029,2001:470:83ae:2:212:6d02::4013,8,0,0,0,0,0,0,255,0,2,1,0
1463048029,2001:470:83ae:2:212:6d02::4013,9,0,0,0,0,0,0,255,0,2,1,0
1463048029,2001:470:83ae:2:212:6d02::4013,10,1,1,0,0,0,0,255,0,2,1,0
1463048030,2001:470:83ae:2:212:6d02::4013,11,0,0,0,0,0,0,255,0,2,1,0
1463048030,2001:470:83ae:2:212:6d02::4013,12,2,2,0,0,0,0,255,0,4,0,0
1463048030,2001:470:83ae:2:212:6d02::4013,13,1,1,0,0,0,0,255,0,4,0,0
1463048030,2001:470:83ae:2:212:6d02::4013,14,0,0,0,0,0,0,255,0,4,0,0
1463048030,2001:470:83ae:2:212:6d02::4013,15,1,1,0,0,0,0,255,0,4,0,0
1463048031,2001:470:83ae:2:212:6d02::4013,16,0,0,0,0,0,0,255,0,4,0,0
1463048031,2001:470:83ae:2:212:6d02::4013,17,0,0,0,0,0,0,255,0,4,0,0
1463048031,2001:470:83ae:2:212:6d02::4013,18,0,0,0,0,0,0,255,0,4,0,0
1463048031,2001:470:83ae:2:212:6d02::4013,19,1,1,0,0,0,0,255,0,4,0,0
1463048031,2001:470:83ae:2:212:6d02::4013,20,0,0,0,0,0,0,255,0,4,0,0
1463048032,2001:470:83ae:2:212:6d02::4013,21,0,0,0,0,0,0,255,0,4,0,0
1463048032,2001:470:83ae:2:212:6d02::4013,22,2,2,0,0,0,0,255,0,4,0,0
1463048032,2001:470:83ae:2:212:6d02::4013,23,2,2,0,0,0,0,255,0,4,0,0
1463048032,2001:470:83ae:2:212:6d02::4013,24,1,1,0,0,0,0,255,0,4,0,0
