time,IP,seqno,pkt,tx,MIsent,MIrecv,RSsent,RSRECV,hop_cnt,dis,dio,dao,rank
1463029908,2001:470:83ae:2:212:6d02::400f,1,0,0,0,0,0,0,2,0,0,0,0
1463029909,2001:470:83ae:2:212:6d02::400f,2,2,2,1,0,1,0,1,0,0,0,0
1463029909,2001:470:83ae:2:212:6d02::400f,3,2,2,2,0,0,0,1,0,0,0,0
1463029909,2001:470:83ae:2:212:6d02::400f,4,1,1,0,0,1,0,1,0,0,0,0
1463029909,2001:470:83ae:2:212:6d02::400f,5,2,2,0,0,1,0,1,0,0,0,0
1463029909,2001:470:83ae:2:212:6d02::400f,6,1,1,0,0,1,0,1,0,0,0,0
1463029910,2001:470:83ae:2:212:6d02::400f,7,2,2,1,0,0,0,1,0,0,0,0
1463029910,2001:470:83ae:2:212:6d02::400f,8,1,1,0,0,1,0,1,0,0,0,0
1463029910,2001:470:83ae:2:212:6d02::400f,9,0,0,0,0,0,0,1,0,0,0,0
1463029910,2001:470:83ae:2:212:6d02::400f,10,0,0,0,0,0,0,1,0,0,0,0
1463029910,2001:470:83ae:2:212:6d02::400f,11,0,0,0,0,0,0,1,0,0,0,0
1463029910,2001:470:83ae:2:212:6d02::400f,12,1,1,1,0,0,0,1,0,0,0,0
1463029911,2001:470:83ae:2:212:6d02::400f,13,1,1,0,0,0,0,1,0,0,0,0
1463029911,2001:470:83ae:2:212:6d02::400f,14,0,0,0,0,0,0,1,0,0,0,0
1463029911,2001:470:83ae:2:212:6d02::400f,15,0,0,0,0,0,0,1,0,0,0,0
1463029911,2001:470:83ae:2:212:6d02::400f,16,0,0,0,0,0,0,1,0,0,0,0
1463029911,2001:470:83ae:2:212:6d02::400f,17,0,0,0,0,0,0,1,0,0,0,0
1463029911,2001:470:83ae:2:212:6d02::400f,18,0,0,0,0,0,0,1,0,0,0,0
1463029911,2001:470:83ae:2:212:6d02::400f,19,1,1,0,0,0,0,1,0,0,0,0
1463029912,2001:470:83ae:2:212:6d02::400f,20,0,0,0,0,0,0,1,0,0,0,0
1463029912,2001:470:83ae:2:212:6d02::400f,21,0,0,0,0,0,0,1,0,0,0,0
1463029912,2001:470:83ae:2:212:6d02::400f,22,0,0,0,0,0,0,1,0,0,0,0
1463029912,2001:470:83ae:2:212:6d02::400f,23,0,0,0,0,0,0,1,0,0,0,0
1463029912,2001:470:83ae:2:212:6d02::400f,24,0,0,0,0,0,0,1,0,0,0,0
1463029912,2001:470:83ae:2:212:6d02::400f,25,2,2,1,0,0,0,1,0,0,0,0
1463029913,2001:470:83ae:2:212:6d02::400f,26,0,0,0,0,0,0,1,0,0,0,0
1463029913,2001:470:83ae:2:212:6d02::400f,27,0,0,0,0,0,0,1,0,0,0,0
1463029913,2001:470:83ae:2:212:6d02::400f,28,0,0,0,0,0,0,1,0,0,0,0
1463029913,2001:470:83ae:2:212:6d02::400f,29,0,0,0,0,0,0,1,0,0,0,0
1463029913,2001:470:83ae:2:212:6d02::400f,30,0,0,0,0,0,0,1,0,0,0,0
1463029913,2001:470:83ae:2:212:6d02::400f,31,1,1,0,0,0,0,1,0,0,0,0
1463029914,2001:470:83ae:2:212:6d02::400f,32,0,0,0,0,0,0,1,0,0,0,0
1463029914,2001:470:83ae:2:212:6d02::400f,33,0,0,0,0,0,0,1,0,0,0,0
1463029914,2001:470:83ae:2:212:6d02::400f,34,0,0,0,0,0,0,1,0,0,0,0
1463029914,2001:470:83ae:2:212:6d02::400f,35,0,0,0,0,0,0,1,0,0,0,0
1463029915,2001:470:83ae:2:212:6d02::400f,36,0,0,0,0,0,0,1,0,0,0,0
1463029915,2001:470:83ae:2:212:6d02::400f,37,1,1,0,0,0,0,1,0,0,0,0
1463029915,2001:470:83ae:2:212:6d02::400f,38,0,0,0,0,0,0,1,0,0,0,0
1463029915,2001:470:83ae:2:212:6d02::400f,39,0,0,0,0,0,0,1,0,0,0,0
1463029915,2001:470:83ae:2:212:6d02::400f,40,0,0,0,0,0,0,1,0,0,0,0
1463029915,2001:470:83ae:2:212:6d02::400f,41,0,0,0,0,0,0,1,0,0,0,0
1463029916,2001:470:83ae:2:212:6d02::400f,42,0,0,0,0,0,0,1,0,0,0,0
1463029916,2001:470:83ae:2:212:6d02::400f,43,1,1,0,0,0,0,1,0,0,0,0
1463029916,2001:470:83ae:2:212:6d02::400f,44,1,1,1,0,0,0,1,0,0,0,0
1463029916,2001:470:83ae:2:212:6d02::400f,45,0,0,0,0,0,0,1,0,0,0,0
1463029916,2001:470:83ae:2:212:6d02::400f,46,0,0,0,0,0,0,1,0,0,0,0
1463029917,2001:470:83ae:2:212:6d02::400f,47,0,0,0,0,0,0,1,0,0,0,0
1463029917,2001:470:83ae:2:212:6d02::400f,48,0,0,0,0,0,0,1,0,0,0,0
1463029917,2001:470:83ae:2:212:6d02::400f,49,1,1,0,0,0,0,1,0,0,0,0
1463029917,2001:470:83ae:2:212:6d02::400f,50,0,0,0,0,0,0,1,0,0,0,0
1463029917,2001:470:83ae:2:212:6d02::400f,51,0,0,0,0,0,0,1,0,0,0,0
1463029917,2001:470:83ae:2:212:6d02::400f,52,0,0,0,0,0,0,1,0,0,0,0
1463029918,2001:470:83ae:2:212:6d02::400f,53,0,0,0,0,0,0,1,0,0,0,0
1463029918,2001:470:83ae:2:212:6d02::400f,54,0,0,0,0,0,0,1,0,0,0,0
1463029918,2001:470:83ae:2:212:6d02::400f,55,1,1,0,0,0,0,1,0,0,0,0
1463029918,2001:470:83ae:2:212:6d02::400f,56,0,0,0,0,0,0,1,0,0,0,0
1463029918,2001:470:83ae:2:212:6d02::400f,57,0,0,0,0,0,0,1,0,0,0,0
1463029918,2001:470:83ae:2:212:6d02::400f,58,0,0,0,0,0,0,1,0,0,0,0
1463029919,2001:470:83ae:2:212:6d02::400f,59,0,0,0,0,0,0,1,0,0,0,0
1463029919,2001:470:83ae:2:212:6d02::400f,60,0,0,0,0,0,0,1,0,0,0,0
1463029919,2001:470:83ae:2:212:6d02::400f,61,1,1,0,0,0,0,1,0,0,0,0
1463029919,2001:470:83ae:2:212:6d02::400f,62,0,0,0,0,0,0,1,0,0,0,0
1463029919,2001:470:83ae:2:212:6d02::400f,63,0,0,0,0,0,0,1,0,0,0,0
1463029919,2001:470:83ae:2:212:6d02::400f,64,0,0,0,0,0,0,1,0,0,0,0
1463029920,2001:470:83ae:2:212:6d02::400f,65,0,0,0,0,0,0,1,0,0,0,0
1463029920,2001:470:83ae:2:212:6d02::400f,66,1,1,0,0,0,0,1,0,0,0,0
1463029920,2001:470:83ae:2:212:6d02::400f,67,0,0,0,0,0,0,1,0,0,0,0
1463029920,2001:470:83ae:2:212:6d02::400f,68,0,0,0,0,0,0,1,0,0,0,0
1463029920,2001:470:83ae:2:212:6d02::400f,69,0,0,0,0,0,0,1,0,0,0,0
1463029920,2001:470:83ae:2:212:6d02::400f,70,0,0,0,0,0,0,1,0,0,0,0
1463029921,2001:470:83ae:2:212:6d02::400f,71,0,0,0,0,0,0,1,0,0,0,0
1463029921,2001:470:83ae:2:212:6d02::400f,72,1,1,0,0,0,0,1,0,0,0,0
1463029921,2001:470:83ae:2:212:6d02::400f,73,0,0,0,0,0,0,1,0,0,0,0
1463029921,2001:470:83ae:2:212:6d02::400f,74,0,0,0,0,0,0,1,0,0,0,0
1463029921,2001:470:83ae:2:212:6d02::400f,75,0,0,0,0,0,0,1,0,0,0,0
1463029921,2001:470:83ae:2:212:6d02::400f,76,0,0,0,0,0,0,1,0,0,0,0
1463029922,2001:470:83ae:2:212:6d02::400f,77,0,0,0,0,0,0,1,0,0,0,0
1463029922,2001:470:83ae:2:212:6d02::400f,78,1,1,0,0,0,0,1,0,0,0,0
1463029922,2001:470:83ae:2:212:6d02::400f,79,0,0,0,0,0,0,1,0,0,0,0
1463029922,2001:470:83ae:2:212:6d02::400f,80,1,1,1,0,0,0,1,0,0,0,0
1463029922,2001:470:83ae:2:212:6d02::400f,81,0,0,0,0,0,0,1,0,0,0,0
1463029922,2001:470:83ae:2:212:6d02::400f,82,0,0,0,0,0,0,1,0,0,0,0
1463029923,2001:470:83ae:2:212:6d02::400f,83,0,0,0,0,0,0,1,0,0,0,0
1463029923,2001:470:83ae:2:212:6d02::400f,84,1,1,0,0,0,0,1,0,0,0,0
1463029923,2001:470:83ae:2:212:6d02::400f,85,0,0,0,0,0,0,1,0,0,0,0
1463029923,2001:470:83ae:2:212:6d02::400f,86,0,0,0,0,0,0,1,0,0,0,0
1463029923,2001:470:83ae:2:212:6d02::400f,87,0,0,0,0,0,0,1,0,0,0,0
1463029923,2001:470:83ae:2:212:6d02::400f,88,0,0,0,0,0,0,1,0,0,0,0
1463029924,2001:470:83ae:2:212:6d02::400f,89,0,0,0,0,0,0,1,0,0,0,0
1463029924,2001:470:83ae:2:212:6d02::400f,90,1,1,0,0,0,0,1,0,0,0,0
1463029924,2001:470:83ae:2:212:6d02::400f,91,0,0,0,0,0,0,1,0,0,0,0
1463029924,2001:470:83ae:2:212:6d02::400f,92,0,0,0,0,0,0,1,0,0,0,0
1463029924,2001:470:83ae:2:212:6d02::400f,93,0,0,0,0,0,0,1,0,0,0,0
1463029924,2001:470:83ae:2:212:6d02::400f,94,0,0,0,0,0,0,1,0,0,0,0
1463029925,2001:470:83ae:2:212:6d02::400f,95,0,0,0,0,0,0,1,0,0,0,0
1463029925,2001:470:83ae:2:212:6d02::400f,96,1,1,0,0,0,0,1,0,0,0,0
1463029925,2001:470:83ae:2:212:6d02::400f,97,0,0,0,0,0,0,1,0,0,0,0
1463029925,2001:470:83ae:2:212:6d02::400f,98,0,0,0,0,0,0,1,0,0,0,0
1463029925,2001:470:83ae:2:212:6d02::400f,99,0,0,0,0,0,0,1,0,0,0,0
1463029926,2001:470:83ae:2:212:6d02::400f,100,0,0,0,0,0,0,1,0,0,0,0
1463029926,2001:470:83ae:2:212:6d02::400f,101,0,0,0,0,0,0,1,0,0,0,0
1463029926,2001:470:83ae:2:212:6d02::400f,102,1,1,0,0,0,0,1,0,0,0,0
1463029926,2001:470:83ae:2:212:6d02::400f,103,0,0,0,0,0,0,1,0,0,0,0
1463029926,2001:470:83ae:2:212:6d02::400f,104,0,0,0,0,0,0,1,0,0,0,0
1463029927,2001:470:83ae:2:212:6d02::400f,105,0,0,0,0,0,0,1,0,0,0,0
1463029927,2001:470:83ae:2:212:6d02::400f,106,0,0,0,0,0,0,1,0,0,0,0
1463029927,2001:470:83ae:2:212:6d02::400f,107,0,0,0,0,0,0,1,0,0,0,0
1463029927,2001:470:83ae:2:212:6d02::400f,108,1,1,0,0,0,0,1,0,0,0,0
1463029927,2001:470:83ae:2:212:6d02::400f,109,0,0,0,0,0,0,1,0,0,0,0
1463029927,2001:470:83ae:2:212:6d02::400f,110,0,0,0,0,0,0,1,0,0,0,0
1463029928,2001:470:83ae:2:212:6d02::400f,111,0,0,0,0,0,0,1,0,0,0,0
1463029928,2001:470:83ae:2:212:6d02::400f,112,0,0,0,0,0,0,1,0,0,0,0
1463029928,2001:470:83ae:2:212:6d02::400f,113,0,0,0,0,0,0,1,0,0,0,0
1463029928,2001:470:83ae:2:212:6d02::400f,114,1,1,0,0,0,0,1,0,0,0,0
1463029928,2001:470:83ae:2:212:6d02::400f,115,0,0,0,0,0,0,1,0,0,0,0
1463029928,2001:470:83ae:2:212:6d02::400f,116,0,0,0,0,0,0,1,0,0,0,0
1463029929,2001:470:83ae:2:212:6d02::400f,117,0,0,0,0,0,0,1,0,0,0,0
1463029929,2001:470:83ae:2:212:6d02::400f,118,0,0,0,0,0,0,1,0,0,0,0
1463029929,2001:470:83ae:2:212:6d02::400f,119,0,0,0,0,0,0,1,0,0,0,0
1463029929,2001:470:83ae:2:212:6d02::400f,120,1,1,0,0,0,0,1,0,0,0,0
1463029929,2001:470:83ae:2:212:6d02::400f,121,0,0,0,0,0,0,1,0,0,0,0
1463029929,2001:470:83ae:2:212:6d02::400f,122,0,0,0,0,0,0,1,0,0,0,0
1463029929,2001:470:83ae:2:212:6d02::400f,123,0,0,0,0,0,0,1,0,0,0,0
1463029930,2001:470:83ae:2:212:6d02::400f,124,0,0,0,0,0,0,1,0,0,0,0
1463029930,2001:470:83ae:2:212:6d02::400f,125,0,0,0,0,0,0,1,0,0,0,0
1463029930,2001:470:83ae:2:212:6d02::400f,126,1,1,0,0,0,0,1,0,0,0,0
1463029930,2001:470:83ae:2:212:6d02::400f,127,0,0,0,0,0,0,1,0,0,0,0
1463029930,2001:470:83ae:2:212:6d02::400f,128,0,0,0,0,0,0,1,0,0,0,0
1463029930,2001:470:83ae:2:212:6d02::400f,129,0,0,0,0,0,0,1,0,0,0,0
1463029931,2001:470:83ae:2:212:6d02::400f,130,0,0,0,0,0,0,1,0,0,0,0
1463029931,2001:470:83ae:2:212:6d02::400f,131,0,0,0,0,0,0,1,0,0,0,0
1463029931,2001:470:83ae:2:212:6d02::400f,132,1,1,0,0,0,0,1,0,0,0,0
1463029931,2001:470:83ae:2:212:6d02::400f,133,0,0,0,0,0,0,1,0,0,0,0
1463029931,2001:470:83ae:2:212:6d02::400f,134,0,0,0,0,0,0,1,0,0,0,0
1463029931,2001:470:83ae:2:212:6d02::400f,135,0,0,0,0,0,0,1,0,0,0,0
1463029932,2001:470:83ae:2:212:6d02::400f,136,0,0,0,0,0,0,1,0,0,0,0
1463029932,2001:470:83ae:2:212:6d02::400f,137,0,0,0,0,0,0,1,0,0,0,0
1463029932,2001:470:83ae:2:212:6d02::400f,138,0,0,0,0,0,0,1,0,0,0,0
1463029932,2001:470:83ae:2:212:6d02::400f,139,0,0,0,0,0,0,1,0,0,0,0
1463029932,2001:470:83ae:2:212:6d02::400f,140,0,0,0,0,0,0,1,0,0,0,0
1463029932,2001:470:83ae:2:212:6d02::400f,141,0,0,0,0,0,0,1,0,0,0,0
1463029933,2001:470:83ae:2:212:6d02::400f,142,0,0,0,0,0,0,1,0,0,0,0
1463029933,2001:470:83ae:2:212:6d02::400f,143,1,1,0,0,0,0,1,0,0,0,0
1463029933,2001:470:83ae:2:212:6d02::400f,144,0,0,0,0,0,0,1,0,0,0,0
1463029933,2001:470:83ae:2:212:6d02::400f,145,0,0,0,0,0,0,1,0,0,0,0
1463029933,2001:470:83ae:2:212:6d02::400f,146,0,0,0,0,0,0,1,0,0,0,0
1463029933,2001:470:83ae:2:212:6d02::400f,147,0,0,0,0,0,0,1,0,0,0,0
1463029934,2001:470:83ae:2:212:6d02::400f,148,0,0,0,0,0,0,1,0,0,0,0
1463029934,2001:470:83ae:2:212:6d02::400f,149,1,1,0,0,0,0,1,0,0,0,0
1463029934,2001:470:83ae:2:212:6d02::400f,150,0,0,0,0,0,0,1,0,0,0,0
1463029934,2001:470:83ae:2:212:6d02::400f,151,0,0,0,0,0,0,1,0,0,0,0
1463029934,2001:470:83ae:2:212:6d02::400f,152,0,0,0,0,0,0,1,0,0,0,0
1463029934,2001:470:83ae:2:212:6d02::400f,153,0,0,0,0,0,0,1,0,0,0,0
1463029935,2001:470:83ae:2:212:6d02::400f,154,0,0,0,0,0,0,1,0,0,0,0
1463029935,2001:470:83ae:2:212:6d02::400f,155,1,1,0,0,0,0,1,0,0,0,0
1463029935,2001:470:83ae:2:212:6d02::400f,156,0,0,0,0,0,0,1,0,0,0,0
1463029935,2001:470:83ae:2:212:6d02::400f,157,0,0,0,0,0,0,1,0,0,0,0
1463029935,2001:470:83ae:2:212:6d02::400f,158,1,1,1,0,0,0,1,0,0,0,0
1463029935,2001:470:83ae:2:212:6d02::400f,159,0,0,0,0,0,0,1,0,0,0,0
1463029936,2001:470:83ae:2:212:6d02::400f,160,0,0,0,0,0,0,1,0,0,0,0
