time,IP,seqno,pkt,tx,MIsent,MIrecv,RSsent,RSRECV,hop_cnt,dis,dio,dao,rank
1463066145,2001:470:83ae:2:212:6d02::4034,1,0,0,0,0,0,0,255,0,0,0,0
1463066146,2001:470:83ae:2:212:6d02::4034,2,2,2,0,0,2,0,255,0,0,0,0
1463066146,2001:470:83ae:2:212:6d02::4034,3,0,0,0,0,0,0,255,0,0,0,0
1463066146,2001:470:83ae:2:212:6d02::4034,4,1,1,0,0,1,0,255,0,0,0,0
1463066146,2001:470:83ae:2:212:6d02::4034,5,0,0,0,0,0,0,255,0,0,0,0
1463066146,2001:470:83ae:2:212:6d02::4034,6,0,0,0,0,0,0,255,0,0,0,0
1463066146,2001:470:83ae:2:212:6d02::4034,7,3,3,1,0,1,0,1,0,0,0,0
1463066147,2001:470:83ae:2:212:6d02::4034,8,1,1,1,0,0,0,1,0,0,0,0
1463066147,2001:470:83ae:2:212:6d02::4034,9,1,1,1,0,0,0,1,0,0,0,0
1463066147,2001:470:83ae:2:212:6d02::4034,10,0,0,0,0,0,0,1,0,0,0,0
1463066147,2001:470:83ae:2:212:6d02::4034,11,1,1,0,0,1,0,1,0,0,0,0
1463066147,2001:470:83ae:2:212:6d02::4034,12,1,1,1,0,0,0,1,0,0,0,0
1463066147,2001:470:83ae:2:212:6d02::4034,13,1,1,0,0,0,0,1,0,0,0,0
1463066147,2001:470:83ae:2:212:6d02::4034,14,0,0,0,0,0,0,1,0,0,0,0
1463066148,2001:470:83ae:2:212:6d02::4034,15,0,0,0,0,0,0,1,0,0,0,0
1463066148,2001:470:83ae:2:212:6d02::4034,16,0,0,0,0,0,0,1,0,0,0,0
1463066148,2001:470:83ae:2:212:6d02::4034,17,0,0,0,0,0,0,1,0,0,0,0
1463066148,2001:470:83ae:2:212:6d02::4034,18,1,1,1,0,0,0,1,0,0,0,0
1463066148,2001:470:83ae:2:212:6d02::4034,19,2,8,1,0,0,0,2,0,0,0,0
1463066148,2001:470:83ae:2:212:6d02::4034,20,1,1,1,0,0,0,2,0,0,0,0
1463066149,2001:470:83ae:2:212:6d02::4034,21,1,1,1,0,0,0,2,0,0,0,0
1463066149,2001:470:83ae:2:212:6d02::4034,22,1,1,0,0,1,0,2,0,0,0,0
1463066149,2001:470:83ae:2:212:6d02::4034,23,0,0,0,0,0,0,2,0,0,0,0
1463066149,2001:470:83ae:2:212:6d02::4034,24,1,1,1,0,0,0,2,0,0,0,0
1463066149,2001:470:83ae:2:212:6d02::4034,25,1,1,0,0,0,0,2,0,0,0,0
1463066150,2001:470:83ae:2:212:6d02::4034,26,0,0,0,0,0,0,2,0,0,0,0
1463066150,2001:470:83ae:2:212:6d02::4034,27,0,0,0,0,0,0,2,0,0,0,0
1463066150,2001:470:83ae:2:212:6d02::4034,28,0,0,0,0,0,0,2,0,0,0,0
1463066150,2001:470:83ae:2:212:6d02::4034,29,0,0,0,0,0,0,2,0,0,0,0
1463066150,2001:470:83ae:2:212:6d02::4034,30,1,1,1,0,0,0,2,0,0,0,0
1463066150,2001:470:83ae:2:212:6d02::4034,31,1,1,0,0,0,0,2,0,0,0,0
1463066151,2001:470:83ae:2:212:6d02::4034,32,0,0,0,0,0,0,2,0,0,0,0
1463066151,2001:470:83ae:2:212:6d02::4034,33,0,0,0,0,0,0,2,0,0,0,0
1463066151,2001:470:83ae:2:212:6d02::4034,34,0,0,0,0,0,0,2,0,0,0,0
1463066151,2001:470:83ae:2:212:6d02::4034,35,0,0,0,0,0,0,2,0,0,0,0
1463066151,2001:470:83ae:2:212:6d02::4034,36,0,0,0,0,0,0,2,0,0,0,0
1463066151,2001:470:83ae:2:212:6d02::4034,37,1,1,0,0,0,0,2,0,0,0,0
1463066152,2001:470:83ae:2:212:6d02::4034,38,0,0,0,0,0,0,2,0,0,0,0
1463066152,2001:470:83ae:2:212:6d02::4034,39,0,0,0,0,0,0,2,0,0,0,0
1463066152,2001:470:83ae:2:212:6d02::4034,40,0,0,0,0,0,0,2,0,0,0,0
1463066152,2001:470:83ae:2:212:6d02::4034,41,0,0,0,0,0,0,2,0,0,0,0
1463066152,2001:470:83ae:2:212:6d02::4034,42,1,1,1,0,0,0,2,0,0,0,0
1463066152,2001:470:83ae:2:212:6d02::4034,43,1,1,0,0,0,0,2,0,0,0,0
1463066153,2001:470:83ae:2:212:6d02::4034,44,0,0,0,0,0,0,2,0,0,0,0
1463066153,2001:470:83ae:2:212:6d02::4034,45,0,0,0,0,0,0,2,0,0,0,0
1463066153,2001:470:83ae:2:212:6d02::4034,46,0,0,0,0,0,0,2,0,0,0,0
1463066153,2001:470:83ae:2:212:6d02::4034,47,0,0,0,0,0,0,2,0,0,0,0
1463066153,2001:470:83ae:2:212:6d02::4034,48,0,0,0,0,0,0,2,0,0,0,0
1463066153,2001:470:83ae:2:212:6d02::4034,49,1,1,0,0,0,0,2,0,0,0,0
1463066154,2001:470:83ae:2:212:6d02::4034,50,0,0,0,0,0,0,2,0,0,0,0
1463066154,2001:470:83ae:2:212:6d02::4034,51,0,0,0,0,0,0,2,0,0,0,0
1463066154,2001:470:83ae:2:212:6d02::4034,52,0,0,0,0,0,0,2,0,0,0,0
1463066154,2001:470:83ae:2:212:6d02::4034,53,0,0,0,0,0,0,2,0,0,0,0
1463066154,2001:470:83ae:2:212:6d02::4034,54,0,0,0,0,0,0,2,0,0,0,0
1463066155,2001:470:83ae:2:212:6d02::4034,55,1,1,0,0,0,0,2,0,0,0,0
1463066155,2001:470:83ae:2:212:6d02::4034,56,0,0,0,0,0,0,2,0,0,0,0
1463066155,2001:470:83ae:2:212:6d02::4034,57,0,0,0,0,0,0,2,0,0,0,0
1463066155,2001:470:83ae:2:212:6d02::4034,58,0,0,0,0,0,0,2,0,0,0,0
1463066155,2001:470:83ae:2:212:6d02::4034,59,1,1,1,0,0,0,2,0,0,0,0
1463066155,2001:470:83ae:2:212:6d02::4034,60,0,0,0,0,0,0,2,0,0,0,0
1463066156,2001:470:83ae:2:212:6d02::4034,61,0,0,0,0,0,0,2,0,0,0,0
1463066156,2001:470:83ae:2:212:6d02::4034,62,0,0,0,0,0,0,2,0,0,0,0
1463066156,2001:470:83ae:2:212:6d02::4034,63,0,0,0,0,0,0,2,0,0,0,0
1463066156,2001:470:83ae:2:212:6d02::4034,64,0,0,0,0,0,0,2,0,0,0,0
1463066156,2001:470:83ae:2:212:6d02::4034,65,0,0,0,0,0,0,2,0,0,0,0
1463066156,2001:470:83ae:2:212:6d02::4034,66,1,1,0,0,0,0,2,0,0,0,0
1463066157,2001:470:83ae:2:212:6d02::4034,67,0,0,0,0,0,0,2,0,0,0,0
1463066157,2001:470:83ae:2:212:6d02::4034,68,0,0,0,0,0,0,2,0,0,0,0
1463066157,2001:470:83ae:2:212:6d02::4034,69,0,0,0,0,0,0,2,0,0,0,0
1463066157,2001:470:83ae:2:212:6d02::4034,70,0,0,0,0,0,0,2,0,0,0,0
1463066157,2001:470:83ae:2:212:6d02::4034,71,0,0,0,0,0,0,2,0,0,0,0
1463066157,2001:470:83ae:2:212:6d02::4034,72,1,1,0,0,0,0,2,0,0,0,0
1463066158,2001:470:83ae:2:212:6d02::4034,73,0,0,0,0,0,0,2,0,0,0,0
1463066158,2001:470:83ae:2:212:6d02::4034,74,0,0,0,0,0,0,2,0,0,0,0
1463066158,2001:470:83ae:2:212:6d02::4034,75,0,0,0,0,0,0,2,0,0,0,0
1463066158,2001:470:83ae:2:212:6d02::4034,76,0,0,0,0,0,0,2,0,0,0,0
