time,IP,seq
1463050279,2001:470:83ae:2:212:6d02:0:4040,5
1463050283,2001:470:83ae:2:212:6d02:0:4042,4
1463050291,2001:470:83ae:2:212:6d02:0:400f,5
1463050297,2001:470:83ae:2:212:6d02:0:4035,5
1463050299,2001:470:83ae:2:212:6d02:0:4043,6
1463050304,2001:470:83ae:2:212:6d02:0:4044,5
1463050313,2001:470:83ae:2:212:6d02:0:4042,5
1463050315,2001:470:83ae:2:212:6d02:0:4041,6
1463050315,2001:470:83ae:2:212:6d02:0:4045,6
1463050318,2001:470:83ae:2:212:6d02:0:4034,12
1463050319,2001:470:83ae:2:212:6d02:0:4013,5
1463050321,2001:470:83ae:2:212:6d02:0:400f,6
1463050327,2001:470:83ae:2:212:6d02:0:4035,6
1463050329,2001:470:83ae:2:212:6d02:0:4043,7
1463050335,2001:470:83ae:2:212:6d02:0:4044,6
1463050342,2001:470:83ae:2:212:6d02:0:4042,6
1463050345,2001:470:83ae:2:212:6d02:0:4045,7
1463050346,2001:470:83ae:2:212:6d02:0:4041,7
1463050348,2001:470:83ae:2:212:6d02:0:4034,13
1463050349,2001:470:83ae:2:212:6d02:0:4013,6
1463050351,2001:470:83ae:2:212:6d02:0:400f,7
1463050359,2001:470:83ae:2:212:6d02:0:4043,8
1463050413,2001:470:83ae:2:212:6d02:0:4045,1
1463050420,2001:470:83ae:2:212:6d02:0:4043,1
1463050443,2001:470:83ae:2:212:6d02:0:4045,2
1463050445,2001:470:83ae:2:212:6d02:0:4041,2
1463050450,2001:470:83ae:2:212:6d02:0:4043,2
1463050472,2001:470:83ae:2:212:6d02:0:4045,3
1463050474,2001:470:83ae:2:212:6d02:0:4041,3
1463050480,2001:470:83ae:2:212:6d02:0:4043,3
1463050502,2001:470:83ae:2:212:6d02:0:4045,4
1463050503,2001:470:83ae:2:212:6d02:0:4034,4
1463050504,2001:470:83ae:2:212:6d02:0:4044,4
1463050504,2001:470:83ae:2:212:6d02:0:4041,4
1463050509,2001:470:83ae:2:212:6d02:0:4043,4
1463050531,2001:470:83ae:2:212:6d02:0:4045,5
1463050532,2001:470:83ae:2:212:6d02:0:4040,5
1463050532,2001:470:83ae:2:212:6d02:0:4042,5
1463050533,2001:470:83ae:2:212:6d02:0:4034,5
1463050534,2001:470:83ae:2:212:6d02:0:4044,5
1463050534,2001:470:83ae:2:212:6d02:0:4041,5
1463050539,2001:470:83ae:2:212:6d02:0:4043,5
1463050561,2001:470:83ae:2:212:6d02:0:4045,6
1463050562,2001:470:83ae:2:212:6d02:0:4040,6
1463050562,2001:470:83ae:2:212:6d02:0:4042,6
1463050563,2001:470:83ae:2:212:6d02:0:4034,6
1463050564,2001:470:83ae:2:212:6d02:0:4041,6
1463050564,2001:470:83ae:2:212:6d02:0:4044,6
1463050569,2001:470:83ae:2:212:6d02:0:4043,6
1463050591,2001:470:83ae:2:212:6d02:0:4045,7
1463050592,2001:470:83ae:2:212:6d02:0:4040,7
1463050592,2001:470:83ae:2:212:6d02:0:4042,7
1463050593,2001:470:83ae:2:212:6d02:0:4034,7
1463050594,2001:470:83ae:2:212:6d02:0:4041,7
1463050594,2001:470:83ae:2:212:6d02:0:4044,7
1463050599,2001:470:83ae:2:212:6d02:0:4043,7
1463050620,2001:470:83ae:2:212:6d02:0:4045,8
1463050621,2001:470:83ae:2:212:6d02:0:4040,8
1463050622,2001:470:83ae:2:212:6d02:0:4042,8
1463050623,2001:470:83ae:2:212:6d02:0:4034,8
1463050623,2001:470:83ae:2:212:6d02:0:4041,8
1463050624,2001:470:83ae:2:212:6d02:0:4044,8
1463050628,2001:470:83ae:2:212:6d02:0:4043,8
1463050650,2001:470:83ae:2:212:6d02:0:4045,9
1463050651,2001:470:83ae:2:212:6d02:0:4040,9
1463050651,2001:470:83ae:2:212:6d02:0:4042,9
1463050653,2001:470:83ae:2:212:6d02:0:4041,9
1463050653,2001:470:83ae:2:212:6d02:0:4034,9
1463050654,2001:470:83ae:2:212:6d02:0:4044,9
1463050658,2001:470:83ae:2:212:6d02:0:4043,9
1463050679,2001:470:83ae:2:212:6d02:0:4045,10
1463050681,2001:470:83ae:2:212:6d02:0:4040,10
1463050681,2001:470:83ae:2:212:6d02:0:4042,10
1463050683,2001:470:83ae:2:212:6d02:0:4041,10
1463050683,2001:470:83ae:2:212:6d02:0:4034,10
1463050684,2001:470:83ae:2:212:6d02:0:4044,10
1463050688,2001:470:83ae:2:212:6d02:0:4043,10
1463050709,2001:470:83ae:2:212:6d02:0:4045,11
1463050711,2001:470:83ae:2:212:6d02:0:4040,11
1463050711,2001:470:83ae:2:212:6d02:0:4042,11
1463050713,2001:470:83ae:2:212:6d02:0:4041,11
1463050713,2001:470:83ae:2:212:6d02:0:4034,11
1463050714,2001:470:83ae:2:212:6d02:0:4044,11
1463050718,2001:470:83ae:2:212:6d02:0:4043,11
1463050739,2001:470:83ae:2:212:6d02:0:4045,12
1463050740,2001:470:83ae:2:212:6d02:0:4040,12
1463050741,2001:470:83ae:2:212:6d02:0:4042,12
1463050742,2001:470:83ae:2:212:6d02:0:4041,12
1463050743,2001:470:83ae:2:212:6d02:0:4034,12
1463050744,2001:470:83ae:2:212:6d02:0:4044,12
1463050747,2001:470:83ae:2:212:6d02:0:4043,12
1463050768,2001:470:83ae:2:212:6d02:0:4045,13
1463050770,2001:470:83ae:2:212:6d02:0:4040,13
1463050771,2001:470:83ae:2:212:6d02:0:4042,13
1463050772,2001:470:83ae:2:212:6d02:0:4041,13
1463050773,2001:470:83ae:2:212:6d02:0:4034,13
1463050774,2001:470:83ae:2:212:6d02:0:4044,13
1463050777,2001:470:83ae:2:212:6d02:0:4043,13
1463050798,2001:470:83ae:2:212:6d02:0:4045,14
1463050800,2001:470:83ae:2:212:6d02:0:4040,14
1463050800,2001:470:83ae:2:212:6d02:0:4042,14
1463050802,2001:470:83ae:2:212:6d02:0:4041,14
1463050803,2001:470:83ae:2:212:6d02:0:4034,14
1463050804,2001:470:83ae:2:212:6d02:0:4044,14
1463050807,2001:470:83ae:2:212:6d02:0:4043,14
1463050827,2001:470:83ae:2:212:6d02:0:4045,15
1463050830,2001:470:83ae:2:212:6d02:0:4040,15
1463050830,2001:470:83ae:2:212:6d02:0:4042,15
1463050832,2001:470:83ae:2:212:6d02:0:4041,15
1463050833,2001:470:83ae:2:212:6d02:0:4034,15
