time,IP,seqno,pkt,tx,MIsent,MIrecv,RSsent,RSRECV,hop_cnt,dis,dio,dao,rank
1461984137,2001:470:83ae:2:212:6d02:0:4043,0,8,9,0,0,0,0,0,0,6,1,10
1461984137,2001:470:83ae:2:212:6d02:0:4042,0,30,30,0,0,0,0,0,0,28,1,8
1461984137,2001:470:83ae:2:212:6d02:0:4043,0,19,20,0,0,0,0,0,0,17,1,10
1461984137,2001:470:83ae:2:212:6d02:0:4034,0,8,9,0,0,0,0,0,0,6,1,10
1461984137,2001:470:83ae:2:212:6d02:0:4041,0,10,10,0,0,0,0,0,0,6,1,8
1461984137,2001:470:83ae:2:212:6d02:0:4044,0,9,9,0,0,0,0,0,0,6,1,8
1461984167,2001:470:83ae:2:212:6d02:0:4043,1,3,3,0,0,0,0,0,0,2,0,8
1461984167,2001:470:83ae:2:212:6d02:0:4042,1,23,23,0,0,0,0,0,0,22,0,6
1461984167,2001:470:83ae:2:212:6d02:0:4043,1,4,4,0,0,0,0,0,0,3,0,8
1461984167,2001:470:83ae:2:212:6d02:0:4034,1,3,3,0,0,0,0,0,0,2,0,8
1461984167,2001:470:83ae:2:212:6d02:0:4041,1,3,3,0,0,0,0,0,0,2,0,6
1461984167,2001:470:83ae:2:212:6d02:0:4040,1,3,3,0,0,0,0,0,0,2,0,6
1461984167,2001:470:83ae:2:212:6d02:0:4044,1,3,3,0,0,0,0,0,0,2,0,6
1461984197,2001:470:83ae:2:212:6d02:0:4042,2,24,24,0,0,0,0,0,0,23,0,4
1461984197,2001:470:83ae:2:212:6d02:0:4043,2,10,10,0,0,0,0,0,0,9,0,6
1461984197,2001:470:83ae:2:212:6d02:0:4034,2,1,1,0,0,0,0,0,0,0,0,6
1461984197,2001:470:83ae:2:212:6d02:0:4041,2,1,1,0,0,0,0,0,0,0,0,4
1461984197,2001:470:83ae:2:212:6d02:0:4040,2,1,1,0,0,0,0,0,0,0,0,4
1461984198,2001:470:83ae:2:212:6d02:0:4044,2,1,1,0,0,0,0,0,0,0,0,4
1461984227,2001:470:83ae:2:212:6d02:0:4043,3,2,2,0,0,0,0,0,0,1,0,4
1461984227,2001:470:83ae:2:212:6d02:0:4043,3,7,7,0,0,0,0,0,0,6,0,4
1461984227,2001:470:83ae:2:212:6d02:0:4034,3,2,2,0,0,0,0,0,0,1,0,4
1461984227,2001:470:83ae:2:212:6d02:0:4041,3,2,2,0,0,0,0,0,0,1,0,3
1461984227,2001:470:83ae:2:212:6d02:0:4040,3,2,2,0,0,0,0,0,0,1,0,3
1461984228,2001:470:83ae:2:212:6d02:0:4044,3,2,2,0,0,0,0,0,0,1,0,3
1461984257,2001:470:83ae:2:212:6d02:0:4042,4,19,19,0,0,0,0,0,0,18,0,2
1461984257,2001:470:83ae:2:212:6d02:0:4043,4,8,8,0,0,0,0,0,0,7,0,3
1461984257,2001:470:83ae:2:212:6d02:0:4034,4,1,1,0,0,0,0,0,0,0,0,3
1461984257,2001:470:83ae:2:212:6d02:0:4041,4,1,1,0,0,0,0,0,0,0,0,2
1461984257,2001:470:83ae:2:212:6d02:0:4040,4,1,1,0,0,0,0,0,0,0,0,2
1461984258,2001:470:83ae:2:212:6d02:0:4044,4,1,1,0,0,0,0,0,0,0,0,2
1461984287,2001:470:83ae:2:212:6d02:0:4042,5,29,29,0,0,0,0,0,0,28,0,1
1461984287,2001:470:83ae:2:212:6d02:0:4043,5,26,26,0,0,0,0,0,0,26,0,2
1461984287,2001:470:83ae:2:212:6d02:0:4034,5,1,1,0,0,0,0,0,0,0,0,2
1461984287,2001:470:83ae:2:212:6d02:0:4041,5,1,1,0,0,0,0,0,0,0,0,1
1461984287,2001:470:83ae:2:212:6d02:0:4040,5,1,1,0,0,0,0,0,0,0,0,1
1461984288,2001:470:83ae:2:212:6d02:0:4044,5,1,1,0,0,0,0,0,0,0,0,1
1461984317,2001:470:83ae:2:212:6d02:0:4042,6,26,26,0,0,0,0,0,0,25,0,0
1461984317,2001:470:83ae:2:212:6d02:0:4043,6,20,20,0,0,0,0,0,0,19,0,1
1461984317,2001:470:83ae:2:212:6d02:0:4034,6,1,1,0,0,0,0,0,0,0,0,1
1461984317,2001:470:83ae:2:212:6d02:0:4041,6,1,1,0,0,0,0,0,0,0,0,0
1461984317,2001:470:83ae:2:212:6d02:0:4040,6,1,1,0,0,0,0,0,0,0,0,0
