time,IP,seqno,pkt,tx,MIsent,MIrecv,RSsent,RSRECV,hop_cnt,dis,dio,dao,rank
1462860175,2001:470:83ae:2:212:6d02::4041,1,0,0,0,0,0,0,255,0,0,0,0
1462860175,2001:470:83ae:2:212:6d02::4041,2,3,3,1,0,2,0,1,0,0,0,0
1462860175,2001:470:83ae:2:212:6d02::4041,3,2,2,1,0,0,0,1,0,0,0,0
1462860175,2001:470:83ae:2:212:6d02::4041,4,1,1,1,0,0,0,1,0,0,0,0
1462860176,2001:470:83ae:2:212:6d02::4041,5,1,1,0,0,0,0,1,0,0,0,0
1462860176,2001:470:83ae:2:212:6d02::4041,6,1,1,1,0,0,0,1,0,0,0,0
1462860176,2001:470:83ae:2:212:6d02::4041,7,1,1,0,0,0,0,1,0,0,0,0
1462860176,2001:470:83ae:2:212:6d02::4041,8,0,0,0,0,0,0,1,0,0,0,0
1462860176,2001:470:83ae:2:212:6d02::4041,9,1,1,0,0,0,0,1,0,0,0,0
1462860177,2001:470:83ae:2:212:6d02::4041,10,0,0,0,0,0,0,1,0,0,0,0
1462860177,2001:470:83ae:2:212:6d02::4041,11,1,1,0,0,0,0,1,0,0,0,0
1462860177,2001:470:83ae:2:212:6d02::4041,12,0,0,0,0,0,0,1,0,0,0,0
1462860177,2001:470:83ae:2:212:6d02::4041,13,2,2,1,0,0,0,1,0,0,0,0
1462860178,2001:470:83ae:2:212:6d02::4041,14,0,0,0,0,0,0,1,0,0,0,0
1462860178,2001:470:83ae:2:212:6d02::4041,15,1,1,0,0,0,0,1,0,0,0,0
1462860178,2001:470:83ae:2:212:6d02::4041,16,0,0,0,0,0,0,1,0,0,0,0
1462860178,2001:470:83ae:2:212:6d02::4041,17,1,1,0,0,0,0,1,0,0,0,0
1462860178,2001:470:83ae:2:212:6d02::4041,18,0,0,0,0,0,0,1,0,0,0,0
1462860179,2001:470:83ae:2:212:6d02::4041,19,1,1,0,0,0,0,1,0,0,0,0
1462860179,2001:470:83ae:2:212:6d02::4041,20,0,0,0,0,0,0,1,0,0,0,0
1462860179,2001:470:83ae:2:212:6d02::4041,21,1,1,0,0,0,0,1,0,0,0,0
1462860179,2001:470:83ae:2:212:6d02::4041,22,1,1,1,0,0,0,1,0,0,0,0
1462860179,2001:470:83ae:2:212:6d02::4041,23,1,1,0,0,0,0,1,0,0,0,0
1462860180,2001:470:83ae:2:212:6d02::4041,24,0,0,0,0,0,0,1,0,0,0,0
1462860180,2001:470:83ae:2:212:6d02::4041,25,1,1,0,0,0,0,1,0,0,0,0
1462860180,2001:470:83ae:2:212:6d02::4041,26,0,0,0,0,0,0,1,0,0,0,0
1462860181,2001:470:83ae:2:212:6d02::4041,27,1,1,0,0,0,0,1,0,0,0,0
1462860181,2001:470:83ae:2:212:6d02::4041,28,0,0,0,0,0,0,1,0,0,0,0
1462860181,2001:470:83ae:2:212:6d02::4041,29,1,1,0,0,0,0,1,0,0,0,0
1462860182,2001:470:83ae:2:212:6d02::4041,30,0,0,0,0,0,0,1,0,0,0,0
1462860182,2001:470:83ae:2:212:6d02::4041,31,1,1,0,0,0,0,1,0,0,0,0
1462860182,2001:470:83ae:2:212:6d02::4041,32,0,0,0,0,0,0,1,0,0,0,0
1462860182,2001:470:83ae:2:212:6d02::4041,33,1,1,0,0,0,0,1,0,0,0,0
1462860182,2001:470:83ae:2:212:6d02::4041,34,0,0,0,0,0,0,1,0,0,0,0
1462860183,2001:470:83ae:2:212:6d02::4041,35,1,1,0,0,0,0,1,0,0,0,0
1462860183,2001:470:83ae:2:212:6d02::4041,36,0,0,0,0,0,0,1,0,0,0,0
1462860183,2001:470:83ae:2:212:6d02::4041,37,1,1,0,0,0,0,1,0,0,0,0
1462860183,2001:470:83ae:2:212:6d02::4041,38,0,0,0,0,0,0,1,0,0,0,0
1462860183,2001:470:83ae:2:212:6d02::4041,39,1,1,0,0,0,0,1,0,0,0,0
1462860183,2001:470:83ae:2:212:6d02::4041,40,0,0,0,0,0,0,1,0,0,0,0
1462860184,2001:470:83ae:2:212:6d02::4041,41,1,2,0,0,0,0,1,0,0,0,0
