time,IP,seq
1462855064,2001:470:83ae:2:212:6d02:0:4034,1
1462855066,2001:470:83ae:2:212:6d02:0:400f,1
1462855071,2001:470:83ae:2:212:6d02:0:4013,1
1462855074,2001:470:83ae:2:212:6d02:0:4034,2
1462855076,2001:470:83ae:2:212:6d02:0:4043,1
1462855077,2001:470:83ae:2:212:6d02:0:400f,2
1462855079,2001:470:83ae:2:212:6d02:0:4043,1
1462855081,2001:470:83ae:2:212:6d02:0:4042,1
1462855081,2001:470:83ae:2:212:6d02:0:4013,2
1462855083,2001:470:83ae:2:212:6d02:0:4040,1
1462855084,2001:470:83ae:2:212:6d02:0:4034,3
1462855086,2001:470:83ae:2:212:6d02:0:400f,3
1462855087,2001:470:83ae:2:212:6d02:0:4043,2
1462855089,2001:470:83ae:2:212:6d02:0:4043,2
1462855089,2001:470:83ae:2:212:6d02:0:4044,3
1462855089,2001:470:83ae:2:212:6d02:0:4041,1
1462855091,2001:470:83ae:2:212:6d02:0:4042,2
1462855091,2001:470:83ae:2:212:6d02:0:4013,3
1462855093,2001:470:83ae:2:212:6d02:0:4040,2
1462855094,2001:470:83ae:2:212:6d02:0:4034,4
1462855096,2001:470:83ae:2:212:6d02:0:400f,4
1462855097,2001:470:83ae:2:212:6d02:0:4035,2
1462855097,2001:470:83ae:2:212:6d02:0:4043,3
1462855098,2001:470:83ae:2:212:6d02:0:4043,3
1462855099,2001:470:83ae:2:212:6d02:0:4044,4
1462855099,2001:470:83ae:2:212:6d02:0:4041,2
1462855101,2001:470:83ae:2:212:6d02:0:4042,3
1462855101,2001:470:83ae:2:212:6d02:0:4013,4
1462855103,2001:470:83ae:2:212:6d02:0:4040,3
1462855104,2001:470:83ae:2:212:6d02:0:4034,5
1462855107,2001:470:83ae:2:212:6d02:0:4035,3
1462855107,2001:470:83ae:2:212:6d02:0:4043,4
1462855108,2001:470:83ae:2:212:6d02:0:4043,4
1462855109,2001:470:83ae:2:212:6d02:0:4044,5
1462855110,2001:470:83ae:2:212:6d02:0:4041,3
1462855111,2001:470:83ae:2:212:6d02:0:4042,4
1462855111,2001:470:83ae:2:212:6d02:0:4013,5
1462855113,2001:470:83ae:2:212:6d02:0:4040,4
1462855114,2001:470:83ae:2:212:6d02:0:4034,6
1462855117,2001:470:83ae:2:212:6d02:0:4035,4
1462855118,2001:470:83ae:2:212:6d02:0:4043,5
1462855118,2001:470:83ae:2:212:6d02:0:4043,5
1462855119,2001:470:83ae:2:212:6d02:0:4044,6
1462855120,2001:470:83ae:2:212:6d02:0:4041,4
1462855121,2001:470:83ae:2:212:6d02:0:4042,5
1462855121,2001:470:83ae:2:212:6d02:0:4013,6
1462855123,2001:470:83ae:2:212:6d02:0:4040,5
1462855124,2001:470:83ae:2:212:6d02:0:4034,7
1462855127,2001:470:83ae:2:212:6d02:0:4035,5
1462855128,2001:470:83ae:2:212:6d02:0:4043,6
1462855129,2001:470:83ae:2:212:6d02:0:4043,6
1462855129,2001:470:83ae:2:212:6d02:0:4044,7
1462855131,2001:470:83ae:2:212:6d02:0:4041,5
1462855131,2001:470:83ae:2:212:6d02:0:4042,6
1462855131,2001:470:83ae:2:212:6d02:0:4013,7
1462855133,2001:470:83ae:2:212:6d02:0:4040,6
1462855134,2001:470:83ae:2:212:6d02:0:4034,8
1462855137,2001:470:83ae:2:212:6d02:0:4035,6
1462855138,2001:470:83ae:2:212:6d02:0:4043,7
1462855138,2001:470:83ae:2:212:6d02:0:4043,7
1462855139,2001:470:83ae:2:212:6d02:0:4044,8
1462855141,2001:470:83ae:2:212:6d02:0:4042,7
1462855141,2001:470:83ae:2:212:6d02:0:4013,8
1462855141,2001:470:83ae:2:212:6d02:0:4041,6
1462855143,2001:470:83ae:2:212:6d02:0:4040,7
1462855144,2001:470:83ae:2:212:6d02:0:4034,9
1462855147,2001:470:83ae:2:212:6d02:0:4035,7
1462855148,2001:470:83ae:2:212:6d02:0:4043,8
1462855148,2001:470:83ae:2:212:6d02:0:4043,8
1462855149,2001:470:83ae:2:212:6d02:0:4044,9
1462855151,2001:470:83ae:2:212:6d02:0:4042,8
1462855151,2001:470:83ae:2:212:6d02:0:4013,9
1462855152,2001:470:83ae:2:212:6d02:0:4041,7
1462855153,2001:470:83ae:2:212:6d02:0:4040,8
1462855154,2001:470:83ae:2:212:6d02:0:4034,10
1462855157,2001:470:83ae:2:212:6d02:0:4035,8
1462855158,2001:470:83ae:2:212:6d02:0:4043,9
1462855159,2001:470:83ae:2:212:6d02:0:4043,9
1462855159,2001:470:83ae:2:212:6d02:0:4044,10
1462855161,2001:470:83ae:2:212:6d02:0:4042,9
1462855161,2001:470:83ae:2:212:6d02:0:4013,10
1462855162,2001:470:83ae:2:212:6d02:0:4041,8
1462855163,2001:470:83ae:2:212:6d02:0:4040,9
1462855164,2001:470:83ae:2:212:6d02:0:4034,11
1462855167,2001:470:83ae:2:212:6d02:0:4035,9
1462855168,2001:470:83ae:2:212:6d02:0:4043,10
1462855169,2001:470:83ae:2:212:6d02:0:4044,11
1462855169,2001:470:83ae:2:212:6d02:0:4043,10
1462855171,2001:470:83ae:2:212:6d02:0:4042,10
1462855171,2001:470:83ae:2:212:6d02:0:4013,11
1462855173,2001:470:83ae:2:212:6d02:0:4041,9
1462855173,2001:470:83ae:2:212:6d02:0:4040,10
1462855174,2001:470:83ae:2:212:6d02:0:4034,12
1462855177,2001:470:83ae:2:212:6d02:0:4035,10
1462855178,2001:470:83ae:2:212:6d02:0:4043,11
1462855179,2001:470:83ae:2:212:6d02:0:4044,12
1462855179,2001:470:83ae:2:212:6d02:0:4043,11
1462855181,2001:470:83ae:2:212:6d02:0:4042,11
1462855181,2001:470:83ae:2:212:6d02:0:4013,12
1462855183,2001:470:83ae:2:212:6d02:0:4040,11
1462855184,2001:470:83ae:2:212:6d02:0:4034,13
1462855186,2001:470:83ae:2:212:6d02:0:400f,13
1462855187,2001:470:83ae:2:212:6d02:0:4035,11
1462855188,2001:470:83ae:2:212:6d02:0:4043,12
1462855189,2001:470:83ae:2:212:6d02:0:4044,13
1462855190,2001:470:83ae:2:212:6d02:0:4043,12
1462855191,2001:470:83ae:2:212:6d02:0:4042,12
1462855191,2001:470:83ae:2:212:6d02:0:4013,13
1462855193,2001:470:83ae:2:212:6d02:0:4040,12
1462855194,2001:470:83ae:2:212:6d02:0:4041,11
1462855194,2001:470:83ae:2:212:6d02:0:4034,14
1462855196,2001:470:83ae:2:212:6d02:0:400f,14
1462855197,2001:470:83ae:2:212:6d02:0:4035,12
1462855198,2001:470:83ae:2:212:6d02:0:4043,13
1462855199,2001:470:83ae:2:212:6d02:0:4044,14
1462855200,2001:470:83ae:2:212:6d02:0:4043,13
1462855201,2001:470:83ae:2:212:6d02:0:4042,13
1462855201,2001:470:83ae:2:212:6d02:0:4013,14
1462855203,2001:470:83ae:2:212:6d02:0:4040,13
1462855204,2001:470:83ae:2:212:6d02:0:4034,15
1462855204,2001:470:83ae:2:212:6d02:0:4041,12
1462855206,2001:470:83ae:2:212:6d02:0:400f,15
1462855207,2001:470:83ae:2:212:6d02:0:4035,13
1462855208,2001:470:83ae:2:212:6d02:0:4043,14
1462855209,2001:470:83ae:2:212:6d02:0:4044,15
1462855210,2001:470:83ae:2:212:6d02:0:4043,14
1462855211,2001:470:83ae:2:212:6d02:0:4042,14
1462855211,2001:470:83ae:2:212:6d02:0:4013,15
1462855213,2001:470:83ae:2:212:6d02:0:4040,14
1462855214,2001:470:83ae:2:212:6d02:0:4034,16
1462855215,2001:470:83ae:2:212:6d02:0:4041,13
1462855216,2001:470:83ae:2:212:6d02:0:400f,16
1462855217,2001:470:83ae:2:212:6d02:0:4035,14
1462855218,2001:470:83ae:2:212:6d02:0:4043,15
1462855219,2001:470:83ae:2:212:6d02:0:4044,16
1462855221,2001:470:83ae:2:212:6d02:0:4042,15
1462855221,2001:470:83ae:2:212:6d02:0:4043,15
1462855221,2001:470:83ae:2:212:6d02:0:4013,16
1462855223,2001:470:83ae:2:212:6d02:0:4040,15
1462855224,2001:470:83ae:2:212:6d02:0:4034,17
1462855225,2001:470:83ae:2:212:6d02:0:4041,14
1462855226,2001:470:83ae:2:212:6d02:0:400f,17
1462855227,2001:470:83ae:2:212:6d02:0:4035,15
1462855228,2001:470:83ae:2:212:6d02:0:4043,16
1462855229,2001:470:83ae:2:212:6d02:0:4044,17
1462855231,2001:470:83ae:2:212:6d02:0:4042,16
1462855231,2001:470:83ae:2:212:6d02:0:4043,16
1462855233,2001:470:83ae:2:212:6d02:0:4040,16
1462855234,2001:470:83ae:2:212:6d02:0:4034,18
1462855236,2001:470:83ae:2:212:6d02:0:4041,15
1462855236,2001:470:83ae:2:212:6d02:0:400f,18
1462855237,2001:470:83ae:2:212:6d02:0:4035,16
1462855238,2001:470:83ae:2:212:6d02:0:4043,17
1462855240,2001:470:83ae:2:212:6d02:0:4044,18
1462855241,2001:470:83ae:2:212:6d02:0:4042,17
1462855241,2001:470:83ae:2:212:6d02:0:4013,18
1462855241,2001:470:83ae:2:212:6d02:0:4043,17
1462855243,2001:470:83ae:2:212:6d02:0:4040,17
1462855244,2001:470:83ae:2:212:6d02:0:4034,19
1462855246,2001:470:83ae:2:212:6d02:0:4041,16
1462855246,2001:470:83ae:2:212:6d02:0:400f,19
1462855247,2001:470:83ae:2:212:6d02:0:4035,17
1462855248,2001:470:83ae:2:212:6d02:0:4043,18
1462855250,2001:470:83ae:2:212:6d02:0:4044,19
1462855251,2001:470:83ae:2:212:6d02:0:4042,18
1462855251,2001:470:83ae:2:212:6d02:0:4013,19
1462855252,2001:470:83ae:2:212:6d02:0:4043,18
1462855253,2001:470:83ae:2:212:6d02:0:4040,18
1462855254,2001:470:83ae:2:212:6d02:0:4034,20
1462855257,2001:470:83ae:2:212:6d02:0:4035,18
1462855257,2001:470:83ae:2:212:6d02:0:4041,17
1462855258,2001:470:83ae:2:212:6d02:0:4043,19
1462855260,2001:470:83ae:2:212:6d02:0:4044,20
1462855261,2001:470:83ae:2:212:6d02:0:4042,19
1462855261,2001:470:83ae:2:212:6d02:0:4013,20
1462855262,2001:470:83ae:2:212:6d02:0:4043,19
1462855263,2001:470:83ae:2:212:6d02:0:4040,19
1462855264,2001:470:83ae:2:212:6d02:0:4034,21
1462855267,2001:470:83ae:2:212:6d02:0:4035,19
1462855267,2001:470:83ae:2:212:6d02:0:4041,18
1462855268,2001:470:83ae:2:212:6d02:0:4043,20
1462855270,2001:470:83ae:2:212:6d02:0:4044,21
1462855271,2001:470:83ae:2:212:6d02:0:4042,20
1462855271,2001:470:83ae:2:212:6d02:0:4013,21
1462855272,2001:470:83ae:2:212:6d02:0:4043,20
1462855273,2001:470:83ae:2:212:6d02:0:4040,20
1462855274,2001:470:83ae:2:212:6d02:0:4034,22
1462855277,2001:470:83ae:2:212:6d02:0:4035,20
1462855278,2001:470:83ae:2:212:6d02:0:4041,19
1462855278,2001:470:83ae:2:212:6d02:0:4043,21
1462855280,2001:470:83ae:2:212:6d02:0:4044,22
1462855281,2001:470:83ae:2:212:6d02:0:4042,21
1462855281,2001:470:83ae:2:212:6d02:0:4013,22
1462855283,2001:470:83ae:2:212:6d02:0:4043,21
1462855283,2001:470:83ae:2:212:6d02:0:4040,21
1462855284,2001:470:83ae:2:212:6d02:0:4034,23
1462855286,2001:470:83ae:2:212:6d02:0:400f,23
1462855287,2001:470:83ae:2:212:6d02:0:4035,21
1462855288,2001:470:83ae:2:212:6d02:0:4043,22
1462855288,2001:470:83ae:2:212:6d02:0:4041,20
1462855290,2001:470:83ae:2:212:6d02:0:4044,23
1462855291,2001:470:83ae:2:212:6d02:0:4042,22
1462855291,2001:470:83ae:2:212:6d02:0:4013,23
1462855293,2001:470:83ae:2:212:6d02:0:4043,22
1462855293,2001:470:83ae:2:212:6d02:0:4040,22
1462855294,2001:470:83ae:2:212:6d02:0:4034,24
1462855296,2001:470:83ae:2:212:6d02:0:400f,24
1462855297,2001:470:83ae:2:212:6d02:0:4035,22
1462855298,2001:470:83ae:2:212:6d02:0:4043,23
1462855299,2001:470:83ae:2:212:6d02:0:4041,21
1462855300,2001:470:83ae:2:212:6d02:0:4044,24
1462855301,2001:470:83ae:2:212:6d02:0:4042,23
1462855301,2001:470:83ae:2:212:6d02:0:4013,24
1462855303,2001:470:83ae:2:212:6d02:0:4040,23
1462855303,2001:470:83ae:2:212:6d02:0:4043,23
1462855304,2001:470:83ae:2:212:6d02:0:4034,25
1462855306,2001:470:83ae:2:212:6d02:0:400f,25
1462855307,2001:470:83ae:2:212:6d02:0:4035,23
